season,game_id,l2m_events,incorrect_events,mean_sori,max_sori,top_decile_event_sori
2021-22,0022100291,24,3,0.05507987333553485,0.17619861822516214,0.07459545150922768
2024-25,0022401027,19,2,0.05482552846795166,0.17619861822516214,0.06393597272887798
2022-23,0022200521,31,1,0.054807886150528395,0.17619861822516214,0.06110540672810116
2019-20,0021900613,15,0,0.054619921431908,0.17619861822516214,0.06857885459545285
2023-24,0022300670,24,1,0.054582380800629875,0.17619861822516214,0.07525823673198535
2020-21,0022000825,18,1,0.05427989235735679,0.17619861822516214,0.07153241428729401
2022-23,0022200614,18,0,0.05416458580795735,0.17619861822516214,0.07525823673198535
2024-25,0022400020,19,0,0.05394771067994915,0.17619861822516214,0.06110540672810116
2018-19,0021800936,18,1,0.05388135059497506,0.17619861822516214,0.07095367275057016
2020-21,0022000655,18,3,0.05374933178068714,0.17619861822516214,0.06110540672810116
2021-22,0022101159,14,3,0.0535627015472321,0.17619861822516214,0.06085737464093379
2022-23,0022200343,31,2,0.05352339767436717,0.17619861822516214,0.07525823673198535
2020-21,0022000142,18,0,0.053234839514327746,0.17619861822516214,0.07153241428729401
2020-21,0022000106,19,1,0.05213668472173241,0.17619861822516214,0.06377661062479664
2022-23,0022200286,28,0,0.05199412689969191,0.17619861822516214,0.06484213066177702
2023-24,0022300227,50,2,0.05132463008249042,0.17619861822516214,0.06110540672810116
2022-23,0022200749,28,3,0.05028444586156576,0.17619861822516214,0.060278633104209944
2021-22,0022101069,17,0,0.05013554322819373,0.17619861822516214,0.06608770530633562
2019-20,0021900162,23,0,0.04992139925742278,0.17619861822516214,0.060278633104209944
2019-20,0021900475,42,2,0.049913160820453106,0.17619861822516214,0.061022729365712035
2018-19,0021800881,59,1,0.04936606090250999,0.17619861822516214,0.06110540672810116
2024-25,0022400167,17,0,0.06726104473744296,0.17023716175533132,0.14641481313637314
2024-25,0022400914,13,0,0.06149032408650833,0.17023716175533132,0.14441260732080569
2019-20,0021900494,17,4,0.05918108235173685,0.17023716175533132,0.10475810873899326
2020-21,0022000230,25,2,0.053351124240350344,0.17023716175533132,0.06110540672810116
2018-19,0021800938,28,0,0.05159871204483733,0.17023716175533132,0.06110540672810116
2020-21,0022000440,27,3,0.04867023951244883,0.17023716175533132,0.060278633104209944
2024-25,0022400950,7,1,0.07650828558187371,0.1617011999680107,0.15141666114116206
2024-25,0022400980,13,2,0.07156915417377523,0.1617011999680107,0.15521773056946453
2022-23,0022200721,18,2,0.06942018784905558,0.1617011999680107,0.1617011999680107
2021-22,0022100832,10,0,0.06819234828292371,0.1617011999680107,0.07116498605209207
2021-22,0022100382,12,0,0.06800381671968957,0.1617011999680107,0.1362148124037468
2024-25,0022400442,13,1,0.06695024177574448,0.1617011999680107,0.14158204132002886
2023-24,0022300033,12,0,0.06501627783008282,0.1617011999680107,0.06110540672810116
2022-23,0022200417,14,1,0.06466519733897645,0.1617011999680107,0.13127442990887056
2024-25,0022400313,14,1,0.06433947144067241,0.1617011999680107,0.06110540672810116
2021-22,0022100533,13,1,0.06392010237489636,0.1617011999680107,0.07242767073120852
2019-20,0021900749,23,2,0.06390741351577174,0.1617011999680107,0.14425324521672434
2024-25,0022401035,16,1,0.06257572647587845,0.1617011999680107,0.10990926932762415
2023-24,0022300251,14,0,0.06208189945127288,0.1617011999680107,0.12376968236587976
2023-24,0022300898,26,4,0.0619927657487079,0.1617011999680107,0.0700185560584199
2024-25,0022401129,29,1,0.06191030974653028,0.1617011999680107,0.09540557664832651
2023-24,0022300159,17,2,0.061407972831655055,0.1617011999680107,0.10297906280849642
2022-23,0022201015,12,1,0.06105423978750168,0.1617011999680107,0.14875081777791108
2022-23,0022200096,28,1,0.06101698066597338,0.1617011999680107,0.09361419281240499
2024-25,0022400145,14,1,0.06078152477906211,0.1617011999680107,0.06085737464093379
2024-25,0022400322,13,2,0.060213992625150974,0.1617011999680107,0.08891076021928206
2024-25,0022400271,15,0,0.06020352626852768,0.1617011999680107,0.11117834384519822
2023-24,0022300035,16,0,0.060175796909226836,0.1617011999680107,0.06818182173004325
2024-25,0022400464,21,1,0.06011989847192911,0.1617011999680107,0.060278633104209944
2024-25,0022401130,12,0,0.05961714672132151,0.1617011999680107,0.082996383544145
2024-25,0022401018,8,0,0.05947046069033063,0.1617011999680107,0.09070540316335016
2023-24,0022300590,19,0,0.05941536529497139,0.1617011999680107,0.09235028685872988
2019-20,0021900641,23,1,0.05939898501053982,0.1617011999680107,0.12770396815945242
2022-23,0022200634,13,0,0.05919106567044296,0.1617011999680107,0.060278633104209944
2022-23,0022201210,14,0,0.05909113433653101,0.1617011999680107,0.06110540672810116
2024-25,0022400359,19,1,0.05901730178280057,0.1617011999680107,0.07779638576713346
2023-24,0022301159,10,0,0.05845078010468119,0.1617011999680107,0.07042088979058998
2024-25,0022400541,14,1,0.0582401260655458,0.1617011999680107,0.06085737464093379
2024-25,0022400406,14,0,0.058232494119958615,0.1617011999680107,0.08543509103288446
2024-25,0022400631,18,1,0.05805097111982135,0.1617011999680107,0.07525823673198535
2019-20,0021900919,17,2,0.05803841991595836,0.1617011999680107,0.06110540672810116
2024-25,0022401190,17,0,0.057827771623562084,0.1617011999680107,0.06941393799436295
